FileName,e_lfanew,SizeOfCode,SizeOfInitializedData,AddressOfEntryPoint,ImageBase,SectionAlignment,FileAlignment,SizeOfImage,DllCharacteristics,BaseOfCode,NumberOfRvaAndSizes,LoaderFlags,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfHeaders,CheckSum,Subsystem,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,ShannonEntropy
/home/kali/Desktop/Virusshare/VirusShare_00761b3acd9798502172ca0ef40ed500,216,16896,81920,19792,2080374784,4096,512,208896,64,4096,16,0,4,0,0,0,4,0,1024,0,3,1048576,4096,1048576,4096,7.464829890167119
/home/kali/Desktop/Virusshare/VirusShare_007cd33f588dfd03914aea0bb2f690ae,232,198144,121344,154098,4194304,4096,512,356352,32768,4096,16,0,5,0,0,0,5,0,1024,0,2,1048576,4096,1048576,4096,6.331265349131785
/home/kali/Desktop/Virusshare/VirusShare_007cf6f003e8a031d81ebd967a9120e9,224,7168,176640,9696,268435456,4096,512,200704,0,4096,16,0,5,0,0,0,5,0,1024,219273,2,1048576,4096,1048576,4096,6.717411873246059
/home/kali/Desktop/Virusshare/VirusShare_007d77752a0c281ca7421db22d2f393a,224,28160,71680,28444,4194304,4096,512,217088,0,4096,16,0,5,1,0,0,5,1,1024,124667,2,1048576,4096,1048576,4096,7.197951337830945
/home/kali/Desktop/Virusshare/VirusShare_007db08f30d5897878e354bd0d767804,216,22016,0,5846,4194304,4096,512,339968,0,4096,16,0,5,1,0,0,5,1,1024,223048,2,1048576,4096,1048576,4096,7.22987948216397
/home/kali/Desktop/Virusshare/VirusShare_007f73a29579e35a7de0a8eae965c830,216,42496,6656,24304,4194304,4096,512,61440,32768,4096,16,0,5,0,0,0,5,0,1024,139977,2,1048576,4096,1048576,4096,5.5439104448536405
/home/kali/Desktop/Virusshare/VirusShare_0081e53d925ee2bf8a975d81f451d644,240,192512,4096,348320,4194304,4096,4096,356352,0,159744,16,0,5,3,8,0,4,0,4096,0,2,1048576,4096,1048576,4096,7.9735753323457415
/home/kali/Desktop/Virusshare/VirusShare_008bf4fc6048929fc7487243ab643410,232,3072,198656,5856,4194304,4096,512,217088,32768,4096,16,0,5,0,0,0,5,0,1024,0,2,1048576,4096,1048576,4096,7.611947837948849
/home/kali/Desktop/Virusshare/VirusShare_008ec3f69cbdc3ed69bff009f2c5620c,184,57344,12288,5488,4194304,4096,4096,73728,0,4096,16,0,4,0,5,7,4,0,4096,101215,2,1048576,4096,1048576,4096,3.4666029868869055
/home/kali/Desktop/Virusshare/VirusShare_00907e2ce307a2a00f6d0ad64a38c4bc,224,126976,434176,52611,268435456,4096,512,573440,0,4096,16,0,4,0,0,0,5,0,1024,275842,2,1048576,4096,1048576,4096,6.982042684612704
/home/kali/Desktop/Virusshare/VirusShare_0093fbf73a14fa748e1b7cb6674a3960,232,37376,28672,21465,4194304,4096,512,98304,0,4096,16,0,8,1,0,0,5,1,1024,112893,2,1048576,4096,1048576,4096,7.182953892950908
/home/kali/Desktop/Virusshare/VirusShare_009bbc30ebc6468fee3cf70b3cc6179e,256,20480,4096,35476,16777216,4096,512,77824,0,53248,16,0,4,0,0,0,4,0,4096,0,2,1048576,16384,1048576,4096,5.6357308819921235
/home/kali/Desktop/Virusshare/VirusShare_00a38bce6818521bed3c78b14ddef25f,128,47104,467968,50296,4194304,4096,512,794624,0,4096,16,0,4,0,0,0,4,0,1024,0,2,4194304,4096,1048576,4096,7.600046888387481
/home/kali/Desktop/Virusshare/VirusShare_00b26c8964bf6c20183d13867e6dbcb0,224,40960,262144,28731,4194304,4096,4096,307200,0,4096,16,0,4,0,0,0,4,0,4096,167025,2,1048576,4096,1048576,4096,6.03849856928662
/home/kali/Desktop/Virusshare/VirusShare_00b2fa6a50ad6652627b3e9336b962c2,128,348160,94208,52272,4194304,4096,512,806912,0,364544,16,0,4,0,0,0,4,0,4096,0,2,4194304,4096,1048576,4096,4.9499467738641325
/home/kali/Desktop/Virusshare/VirusShare_00d3bedc5c6cf3614990a5a21592cebd,232,1024,11776,4268,4194304,4096,512,28672,0,4096,16,0,4,0,0,0,4,0,1024,0,2,1048576,4096,1048576,4096,7.647809315075345
/home/kali/Desktop/Virusshare/VirusShare_00d47e7738c972700d66c80d973ca1ba,224,74240,257536,9343,4194304,4096,512,499712,32768,4096,16,0,5,1,0,0,5,1,1024,379495,2,1048576,4096,1048576,4096,7.288732634411501
